name,load,startTime,endTime,startPos,endPos
DeRotterda.West.LW.LW02,7,2014-04-03 13:29:24,2014-04-03 13:29:31,15,16
DeRotterda.West.LW.LW02,8,2014-04-03 13:29:42,2014-04-03 13:29:49,16,17
DeRotterda.West.LW.LW02,8,2014-04-03 13:30:12,2014-04-03 13:30:20,17,18
DeRotterda.West.LW.LW02,8,2014-04-03 13:30:31,2014-04-03 13:30:39,18,19
DeRotterda.West.LW.LW02,3,2014-04-03 13:30:50,2014-04-03 13:30:56,19,20
DeRotterda.West.LW.LW02,3,2014-04-03 13:38:43,2014-04-03 13:38:50,20,19
DeRotterda.West.LW.LW02,17,2014-04-03 13:39:01,2014-04-03 13:39:30,19,0
DeRotterda.West.LW.LW02,1,2014-04-03 13:39:42,2014-04-03 13:40:12,0,21
DeRotterda.West.LW.LW02,6,2014-04-03 13:40:20,2014-04-03 13:40:51,21,0
DeRotterda.West.LW.LW02,3,2014-04-03 13:41:59,2014-04-03 13:42:07,0,1
DeRotterda.West.LW.LW02,0,2014-04-03 13:46:42,2014-04-03 13:47:42,1,0
DeRotterda.West.LW.LW02,3,2014-04-03 13:47:50,2014-04-03 13:48:10,0,10
DeRotterda.West.LW.LW02,1,2014-04-03 13:48:18,2014-04-03 13:48:38,10,0
DeRotterda.West.LW.LW02,0,2014-04-03 13:48:48,2014-04-03 13:49:33,0,35
DeRotterda.West.LW.LW02,4,2014-04-03 13:49:44,2014-04-03 13:50:28,35,0
DeRotterda.West.LW.LW02,0,2014-04-03 13:50:39,2014-04-03 13:51:33,0,44
DeRotterda.West.LW.LW02,4,2014-04-03 13:59:18,2014-04-03 13:59:50,44,20
DeRotterda.West.LW.LW02,8,2014-04-03 14:00:16,2014-04-03 14:00:23,20,21
DeRotterda.West.LW.LW02,8,2014-04-03 14:00:44,2014-04-03 14:00:51,21,22
DeRotterda.West.LW.LW02,3,2014-04-03 14:01:06,2014-04-03 14:05:55,22,22
DeRotterda.West.LW.LW02,8,2014-04-03 14:06:06,2014-04-03 14:06:13,22,23
DeRotterda.West.LW.LW02,8,2014-04-03 14:06:30,2014-04-03 14:06:41,23,19
DeRotterda.West.LW.LW02,8,2014-04-03 14:07:00,2014-04-03 14:07:14,19,25
